venue_id,venue_name,current_monday,current_tuesday,current_wednesday,current_thursday,current_friday,current_saturday,current_sunday,last_year_monday,last_year_tuesday,last_year_wednesday,last_year_thursday,last_year_friday,last_year_saturday,last_year_sunday,current_week_total,last_year_week_total,monday_change,tuesday_change,wednesday_change,thursday_change,friday_change,saturday_change,sunday_change,week_change,week_number,year,personnel_expense_ratio,estimated_profit,debit_variation,debit_variation_previous,debit_variation_variation,holiday_name,holiday_flag
5,VITORIA,0.0,452.75,1075.85,345.5,944.8,2851.8,1134.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6805.19,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7,2024,0.0,6805.19,,,,,False
6,ZARAGOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2024,0.0,0.0,,,,,False
1,PAMPLONA,765.6,751.02,1101.75,1144.67,2376.64,2877.16,1370.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10387.14,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8,2024,0.0,10387.14,,,,,False
2,BILBAO,449.25,364.75,388.35,712.5,1431.95,2123.35,910.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6380.19,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8,2024,0.0,6380.19,,,,,False
3,BURGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2024,0.0,0.0,,,,,False
4,SAN SEBASTIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2024,0.0,0.0,,,,,False
5,VITORIA,0.0,506.35,295.75,511.0,1897.65,2542.6,977.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6730.7,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8,2024,0.0,6730.7,,,,,False
6,ZARAGOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2024,0.0,0.0,,,,,False
1,PAMPLONA,884.63,1086.55,810.48,928.5,2609.73,2333.44,1816.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10470.03,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9,2024,0.0,10470.03,,,,,False
2,BILBAO,566.35,161.68,363.05,778.2,1847.2,1982.25,1109.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6808.23,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9,2024,0.0,6808.23,,,,,False
